policy_statement,verbatim_text,policy_type,parent_policy_name,section_header,sector,extraction_rationale,cluster_id,cluster_type,role,parent_statement,reasoning,has_quantifiable_target,has_timeline,has_binding_mechanism,has_spatial_specificity,weak_language_detected,strong_language_detected,validation_result,confidence_score,validation_reasoning,final_verdict
TMG will implement climate change adaptation into all relevant TMG initiatives across sectors.,"## (1) Implement climate change adaptation into all of TMG's initiatives.

The effects of climate change adaptation are appearing in a broad range of fields, including natural disasters, human health, and agriculture, forestry, and fisheries. TMG will address climate change impacts at present and in the future by incorporating climate change adaptation into all relevant initiatives.",individual,,## 3. Basic Approaches to Adaptation,Cross-sectoral,Clear commitment ('will address... by incorporating... into all relevant initiatives') describing a cross-government policy approach.,4,individual,individual,,"The statement is a broad intent to mainstream adaptation across TMG initiatives. While it is an actionable direction (“will address… by incorporating…”), it lacks any measurable outcome (no indicators/percent coverage, number of initiatives updated, etc.) and lacks any explicit deadline/year. It is also framed as general incorporation rather than a binding mandate or enforceable code change. Under the strict rule for individual policies, missing both a timeline and quantifiable target makes it NON-SOUND.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No. The text states: ""incorporating climate change adaptation into all relevant initiatives"" but provides no measurable outcome (no % coverage, counts, KPIs, or performance thresholds).
Timeline: No. The text includes ""at present and in the future"" but no explicit deadline/year (e.g., by 2030).
Binding mechanism: No. No ordinance, regulation, mandatory standard, or enforcement mechanism is described—only an implementation intention.
Spatial specificity: Yes. It is explicitly scoped to ""TMG's initiatives"" (jurisdictional scope: TMG).
Weak language: No. Uses ""will"" and ""will address"" rather than ""encourage/explore"".
Strong language: No. Although ""will"" appears, there are no hard numbers or enforceable requirements paired with measurable targets.
STRICT VALID RULE check: Fails gold standard because has_timeline='No' AND has_quantifiable_target='No'; therefore the policy is NON-SOUND.",False
TMG will promote adaptation measures based on the latest scientific knowledge and actively use the latest technologies related to adaptation.,"## (2) Promote climate change adaptation based on scientific knowledge.

TMG will promote adaptation measures based on the latest scientific knowledge. In addition, we will actively utilize the latest technologies related to climate change adaptation.",individual,,## 3. Basic Approaches to Adaptation,Cross-sectoral,Explicit commitment to base adaptation on updated science and technology use.,5,individual,individual,,"The statement describes an intention to “promote” adaptation and “actively utilize” technologies, but it does not specify any measurable outcome (e.g., number of projects, coverage, performance standard) nor any deadline/year. It is also not framed as a binding mandate or enforceable requirement. Under the strict individual-policy rule, it fails the gold-standard requirement (timeline + quantifiable target), so it is NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text contains no measurable outcomes; it only says, ""TMG will promote adaptation measures"" and ""actively utilize the latest technologies."" Timeline: No—no explicit year/deadline is provided. Binding mechanism: No—no ordinance/mandate/requirement language; the verbs are promotional rather than enforceable. Spatial specificity: No—no defined geography or applicability scope is stated beyond the entity (TMG). Weak language: Yes—""promote"" and ""actively utilize"" indicate intent without auditable deliverables. Strong language: No—no 'require/mandate/achieve' paired with hard numbers. Therefore it fails the strict rule (missing timeline and quantifiable target) and is NON-SOUND.",False
TMG will support municipalities' community-based adaptation efforts by actively providing information.,"## (3) Support local efforts in cooperation with municipalities.

TMG will support local efforts by actively providing information so that municipalities can develop their community-based initiatives.",individual,,## 3. Basic Approaches to Adaptation,Cross-sectoral,Defines a concrete support action (information provision) to enable municipal initiatives.,6,individual,individual,,"The statement commits to “support” via “actively providing information,” which is a general enabling action rather than an auditable, outcome-based deliverable. The verbatim text does not specify any quantified results (e.g., number of municipalities served, trainings delivered) nor any deadline/year. It also lacks a binding mechanism (no ordinance/requirement) and has no explicit spatial scope beyond generic “municipalities.” Under the strict rule for individual policies, missing both timeline and quantifiable target makes it NON-SOUND.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No — the text only says “support local efforts by actively providing information” and contains no measurable outcome (no counts, %, or defined deliverable). Timeline: No — no deadline/year is stated; it is framed generally (“will support”). Binding mechanism: No — no mandate/requirement/ordinance; only an intention (“TMG will support…”). Spatial specificity: No — applies broadly to “municipalities” without naming a jurisdictional area (e.g., citywide/prefectural) or specific locations/communities. Weak language: Yes — “will support” and “providing information” are enabling/vague and not tied to a hard target. Strong language: No — no enforceable verbs paired with hard numbers. Strict valid rule fails because both has_timeline and has_quantifiable_target are 'No', and commitment is not outcome-auditable beyond general intent.",False
TMG will develop a system to collect and provide adaptation information and actively disseminate information (including risks) to raise awareness among Tokyo residents.,"## (4) Promote dissemination of information, including risks, to facilitate understanding of Tokyo residents.

TMG will develop a system to collect and provide information on climate change adaptation and actively disseminate the information.",individual,,## 3. Basic Approaches to Adaptation,Cross-sectoral,Commitment includes a specific intervention: developing an information collection/provision system.,7,individual,individual,,"The statement describes an administrative action (“develop a system” and “actively disseminate information”) but does not specify any measurable outcome (e.g., number of residents reached, platform features delivered, risk reports published) or any deadline/year. The language is largely promotional/process-oriented and does not indicate a binding mandate. Under the strict rule for individual policies, it fails the gold-standard requirement (timeline + quantifiable target), so it is NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,Quantifiable target: No—verbatim text includes actions but no measurable outcomes: “develop a system to collect and provide information… and actively disseminate the information.” Timeline: No—no date/deadline/year is stated. Binding mechanism: No—no ordinance/requirement/mandate; phrased as an intention by TMG (“will develop… will… disseminate”). Spatial specificity: Yes—applies to “Tokyo residents” / “Tokyo.” Weak language: Yes—focuses on awareness/understanding and dissemination without hard targets (“Promote dissemination… to facilitate understanding”). Strong language: No—no enforceable verbs with numbers/targets. Therefore it fails the strict validity rule (missing both timeline and quantifiable target) and is NON-SOUND.,False
TMG will accelerate intercity collaboration for climate adaptation by using C40 and other organizations to share knowledge.,"## (5) Promote international cooperation in C40 and other organizations to accelerate intercity collaboration.

TMG will accelerate intercity collaboration by utilizing organizations in which TMG has membership, such as C40 1 , in order to share knowledge.",individual,,## 3. Basic Approaches to Adaptation,Cross-sectoral,Explicit action to use specific international networks (C40) for collaboration/knowledge sharing.,8,individual,individual,,"The text commits to “promote international cooperation” and “utilizing organizations… such as C40… in order to share knowledge,” which is an intent/process-oriented action rather than an auditable deliverable. It contains no measurable outcome target (e.g., number of collaborations, cities engaged, workshops delivered) and no deadline/year. Language is weak (“Promote…”, “utilizing… to share knowledge”) and there is no binding mechanism indicated. Therefore it fails the strict validity rule for an individual policy.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—verbatim text states only 'share knowledge' and 'accelerate intercity collaboration' with no numeric/measurable outcome. Timeline: No—no deadline/year is provided. Binding mechanism: No—no ordinance/mandate/requirement; it says 'Promote international cooperation' and 'utilizing organizations... in order to share knowledge.' Spatial specificity: No—no defined jurisdiction or target geography beyond general international cooperation; does not specify where the policy applies. Weak language: Yes—uses 'Promote' and process framing ('utilizing... to share knowledge') without hard targets. Strong language: No—no 'require/mandate/achieve' with numbers. Under the STRICT VALID RULE, it fails the gold standard (no timeline and no quantifiable target) and relies on weak language without binding authority, so it is NON-SOUND.",False
"TMG will use drones in disasters by consolidating drone imagery in DIS, verifying information for emergency planning, collecting landslide information, mapping/analyzing via AI, and deploying drone video transmission and remote inspections for roads, rivers, and coasts.","## ¢ Using Drones in the Event of a Disaster

By consolidating drone image information collected by bureaus in the Disaster Information System (DIS) and sharing it in TMG and with related organizations... we will verify the information to use it for the planning and adjustment of quick-response emergency measures.

Introduce a drone video transmission system... For roads, rivers, and coasts, TMG will use drones for remote inspection and sharing information in real-time, and consider developing a system to identify damage safely and promptly.",individual,,## Major Efforts through DX / ## ¢ Using Drones in the Event of a Disaster,Disaster risk management,"Named DX effort with specific systems (DIS consolidation, AI mapping, video transmission, remote inspection).",9,individual,individual,,"The statement describes intended actions (consolidate drone imagery in DIS, introduce video transmission, use drones for inspections, and “consider developing” a damage-identification system). However, the verbatim text provides no explicit deadline/year and no measurable outcome target (e.g., number of drones deployed, % coverage, response time reduction). It also relies on non-binding/aspirational phrasing (“we will verify…”, “Introduce…”, “consider developing…”), so it does not meet the strict criteria for an individual policy being actionable + measurable.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text describes activities (""consolidating drone image information"", ""Introduce a drone video transmission system"", ""use drones for remote inspection"") but provides no measurable outcome (no counts, percentages, service levels, or performance thresholds).
Timeline: No. No explicit deadline/year is stated.
Binding mechanism: No. There is no ordinance/mandate/regulatory requirement; it reads as an operational intention.
Spatial specificity: Yes. The scope is indicated within TMG operations and specific asset types: ""For roads, rivers, and coasts"" and sharing ""in TMG and with related organizations.""
Weak language: Yes, due to ""consider developing a system to identify damage"" (exploratory) and generally plan/intention framing.
Strong language: No. While ""Introduce"" and ""will use"" appear, they are not paired with hard numbers or enforceable requirements.
STRICT VALID RULE: Fails because has_timeline='No' and has_quantifiable_target='No'.",False
"TMG will implement a regional renewable energy sharing model, including a VPP-based energy sharing model project in Minami-Osawa and a model for storage/utilization to support resilience and balance supply and demand.","## ¢ Sharing of Regional Renewable Energy

-  Implement an energy sharing model project in part of the Minami-Osawa district... utilizing a VPP 1 mechanism to remotely control solar power generation, storage batteries, hydrogen equipment based on renewable energy, and electric vehicles (EVs)...
-  Build a model for the storage and utilization of renewable energy that realizes both energy management in normal times and resilience in the event of a disaster...",individual,,## Major Efforts through DX / ## ¢ Sharing of Regional Renewable Energy,Energy,Specific model project with location and mechanism (VPP) plus resilience objective.,10,individual,individual,,"The statement describes implementing an energy sharing model project in a specific place (Minami-Osawa) using a VPP mechanism, and building a storage/utilization model for resilience. However, the verbatim text provides no explicit timeline (year/deadline) and no quantifiable outcome target (e.g., MW, number of devices, % demand served). The language is largely “implement/build a model,” which is auditable as an activity but not measurable against a numeric performance goal; no binding/legal mechanism is indicated.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text states ""Implement an energy sharing model project"" and ""Build a model for the storage and utilization of renewable energy"" but includes no measurable outcomes (no MW, %, counts, or performance thresholds). Timeline: No—no explicit deadline/year is provided; phrases are descriptive without dates. Binding mechanism: No—no ordinance/mandate/requirement is cited; it is framed as a project/model. Spatial specificity: Yes—""part of the Minami-Osawa district"" specifies where it applies. Weak language: Yes—""Build a model"" and project framing describe development/implementation without hard targets. Strong language: No—there are no numeric commitments paired with enforceable verbs; while ""Implement"" appears, it is not tied to quantified outcomes. Under the strict rule for individual policies, missing both timeline and quantifiable target fails the gold standard, so result is NON-SOUND.",False
"TMG will revise a local biodiversity strategy as a cross-bureau, medium- to long-term comprehensive plan and use it to promote green infrastructure for conservation and restoration of nature.","## Revision of a local biodiversity strategy

- ' Revise a local biodiversity strategy as a crossbureau, medium- to long-term comprehensive plan for biodiversity in Tokyo...

## Three levels of biodiversity

- ' Through this strategy, TMG will reaffirm the various functions of the natural environment to actively use them in green infrastructure for the purpose of the conservation and restoration of nature.",individual,,## Natural environment — ## Efforts for the Future,Nature,Named strategic revision plus explicit intent to use it for green infrastructure and conservation/restoration.,11,individual,individual,,"The statement describes revising a biodiversity strategy and using it to “actively use” green infrastructure for conservation/restoration. However, it lacks (1) any quantifiable, auditable outcome (e.g., hectares restored, % coverage, number of projects) and (2) any explicit deadline/year. The language is primarily strategic/process-oriented (“revise… strategy,” “reaffirm… functions”), which makes it non-auditable as an individual policy under the strict criteria.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No measurable outcome is stated; text says ""Revise a local biodiversity strategy"" and ""actively use them in green infrastructure"" but provides no numbers (e.g., area restored, projects delivered).
Timeline: No explicit year/deadline; only ""medium- to long-term"" is provided, which is not an auditable timeline.
Binding mechanism: No indication of an enforceable mandate/ordinance; it is a planning/strategy revision.
Spatial specificity: Yes; the strategy is ""for biodiversity in Tokyo"" (TMG context).
Weak language: Yes; primarily process/intent language such as ""Revise a local biodiversity strategy"" and ""will reaffirm"" and ""actively use"" without hard targets.
Strong language: No; no required actions tied to hard numbers or deadlines.
STRICT VALID RULE: Fails because has_timeline='No' and has_quantifiable_target='No'.",False
TMG will expand biodiversity conservation areas by designating good natural land as conservation areas and conserving/managing them to serve as biodiversity bases and reduce flood damage via rainwater drainage.,"## Expansion of conservation areas to protect valuable biodiversity

- ' By designating parcels of good natural land as conservation areas and appropriately conserving and managing them, TMG will maintain such areas to serve as a base for biodiversity in Tokyo and reduce flood damage through the drainage of rainwater.",individual,,## Natural environment — ## Efforts for the Future,Nature,Concrete land designation/management action with dual objectives (biodiversity and flood reduction).,12,individual,individual,,"The statement describes an intended action (“designating parcels… as conservation areas” and “conserving and managing them”) with co-benefits (biodiversity base; flood reduction). However, the verbatim text provides no measurable outcome (e.g., hectares designated, number of parcels, % flood reduction) and no explicit timeline/deadline. Language is programmatic (“will maintain… serve as…”) but not framed as an enforceable mandate or ordinance. Under the strict rule for individual policies, absence of both quantifiable target and timeline makes it NON-SOUND.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No — the text says ""designating parcels of good natural land as conservation areas"" but gives no measurable amount (no hectares, number of parcels, or quantified flood/biodiversity outcome). Timeline: No — no year or deadline is provided; it only states TMG ""will maintain such areas"". Binding mechanism: No — no ordinance, legal requirement, or code change is mentioned; it is a plan statement. Spatial specificity: Yes — it specifies the jurisdiction ""Tokyo"" (""base for biodiversity in Tokyo""). Language strength/weakness: Strong language detected = No because there are no hard numbers; weak language detected = No because it does not use 'encourage/aim/explore' framing, but it is still non-auditable without targets and timeline. STRICT VALID RULE fails because has_timeline='No' and has_quantifiable_target='No', so validation_result is NON-SOUND.",False
TMG will ensure reforestation in the Tama area through thinning and pruning to restore public benefits of devastated cedar/cypress plantation forests.,"## Reforestation in the Tama area

- ' To restore public benefits of plantation forests of Japanese cedar and cypress in the Tama area that have been devastated, we will ensure their reforestation through thinning and pruning.",individual,,## Natural environment — ## Efforts for the Future,Nature,Specific forest restoration action with defined methods (thinning and pruning).,13,individual,individual,,"The statement commits to an action (“ensure … reforestation through thinning and pruning”) in a defined location (Tama area). However, the verbatim text does not provide any quantifiable outcome (e.g., hectares treated/reforested, number of trees, % canopy restored) nor any explicit timeline/deadline. It is therefore not auditable against measurable targets and fails the strict “gold standard” rule (needs both timeline and quantifiable target). The language is relatively strong (“will ensure”) but not backed by enforceable/binding mechanism details.",No,No,No,Yes,No,No,NON-SOUND,0.4,"Quantifiable target: No—text states ""we will ensure their reforestation through thinning and pruning"" but gives no measurable outcome (no hectares, %, counts, etc.). Timeline: No—no year/deadline is stated. Binding mechanism: No—no ordinance/mandate/code/enforcement mechanism is described; it is a programmatic intention. Spatial specificity: Yes—applies to ""the Tama area"". Weak language: No—does not use 'encourage/aim/explore'; it says ""we will ensure"". Strong language: No—although 'will ensure' is assertive, the criterion requires strong verbs with hard numbers; none are present. Strict rule failure: lacks both timeline and quantifiable target, so must be NON-SOUND.",False
"TMG will create and conserve greenery via the Greenery Program and Urban Redevelopment Systems, promote designation of productive green land with municipalities, and secure green spaces through the Development Permit System.","## Creation and conservation of greenery

- ' Steadily operate the Greenery Program in development and building plans...
- ' ...TMG will promote the designation as productive green land or specific productive green land in cooperation with municipalities
- ' Secure green spaces by steadily operating the Development Permit System...",individual,,## Natural environment — ## Efforts for the Future,Nature,Concrete land-use and program operations to secure greenery; includes coordination with municipalities.,14,individual,individual,,"The statement describes ongoing programmatic actions (“operate,” “promote,” “secure”) related to greenery, but the verbatim text provides no explicit, measurable outcome target (e.g., hectares protected/created) and no deadline/year. Language is largely procedural/aspirational (“steadily operate,” “promote”) and does not clearly establish a new binding requirement beyond referencing an existing permitting system. Under the strict rule for individual policies, it is NON-SOUND due to missing timeline and quantifiable target.",No,No,No,No,Yes,No,NON-SOUND,0.35,"Quantifiable target: No. The text says ""Steadily operate the Greenery Program"" and ""promote the designation as productive green land"" and ""Secure green spaces..."" but provides no measurable metric (no area, %, number of sites).
Timeline: No. No date/year/deadline is stated; phrases like ""steadily operate"" are ongoing and not an explicit timeline.
Binding mechanism: No. While it references ""steadily operating the Development Permit System,"" the excerpt does not state a new enforceable mandate/ordinance or requirement; it reads as continued operation of an existing system.
Spatial specificity: No. It mentions cooperation ""with municipalities"" but does not specify a defined jurisdictional scope such as citywide, specific wards, or named areas.
Weak language: Yes. Verbs/phrases such as ""steadily operate"" and ""promote"" indicate intent/process without hard targets.
Strong language: No. No mandates with hard numbers (e.g., ""require"" + quantified outcome) are present.
Overall: Fails the gold standard because has_timeline='No' and has_quantifiable_target='No', so it is NON-SOUND.",False
"TMG will green riverbanks and improve river facilities using natural environment, maintain park forests for comfort/safety, and improve roadside tree greenery through efficient maintenance.","- ' Systematically promote the greening of riverbanks... and implement efforts to improve the quality of river facilities by making use of the natural environment.
- ' Promote appropriate maintenance of park forests... TMG will also improve the quality of greenery by efficiently maintaining roadside trees.",individual,,## Natural environment — ## Efforts for the Future,Nature,"Specific ecosystem-based adaptation actions (riverbank greening, park forest maintenance).",15,individual,individual,,"The verbatim text describes intentions to “promote” greening and “promote appropriate maintenance,” but it does not specify any measurable outcome (e.g., hectares restored, number of trees, % canopy increase) nor any deadline/year. It also lacks an explicit binding mechanism (e.g., ordinance/mandate). Because it is largely programmatic and framed with weak verbs without targets or timelines, it fails the strict validity requirements for an individual policy.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text says ""Systematically promote the greening of riverbanks"" and ""Promote appropriate maintenance of park forests"" and ""improve the quality of greenery"" but provides no numbers (no area, counts, percentages, or other measurable outcomes). Timeline: No—no dates or deadlines are stated. Binding mechanism: No—language does not indicate an enforceable requirement (uses ""promote"" / ""implement efforts"" rather than mandate/require). Spatial specificity: No—mentions generic locations (""riverbanks,"" ""park forests,"" ""roadside trees"") without defining a jurisdictional scope like ""citywide"" or named districts in the excerpt. Weak language: Yes—""promote"" and ""implement efforts"" indicate aspiration/process without hard deliverables. Strong language: No—no mandatory verbs paired with auditable targets. Under the strict rule, lacking both timeline and quantifiable target makes the policy NON-SOUND.",False
"TMG will conduct adaptive management in 31 Tokyo Metropolitan parks focusing on environmental improvement, species monitoring, and stakeholder coordination; in marine parks it will expand/develop beaches, tidal flats, and rocky shores and monitor them.","## Environmental improvement of Tokyo Metropolitan parks and marine parks

- ' In 31 Tokyo Metropolitan parks... TMG will carry out adaptive management 1 by focusing on environmental improvement, monitoring species, and facilitating cooperation and information sharing between stakeholders.
To secure a habitat... in marine parks, we will not only promote the development and expansion of beaches, tidal flats, and rocky shores, but also monitor them.",individual,,## Natural environment — ## Efforts for the Future,Nature,Quantified scope (31 parks) with specific management actions and habitat development/monitoring.,16,individual,individual,,"The statement is specific about the type of activities (adaptive management, environmental improvement, species monitoring, stakeholder coordination; habitat development/expansion and monitoring in marine parks) and includes a defined scope of “31 Tokyo Metropolitan parks,” which makes it somewhat auditable. However, it lacks any explicit timeline/deadline and does not specify a measurable outcome target (e.g., hectares restored, % habitat increase, number of species monitored with targets, km of shoreline developed). The language is largely “will carry out / will promote,” which signals intent but not enforceable or outcome-quantified commitments. Under the strict rule for individual policies, missing both a timeline and a quantifiable outcome target makes it NON-SOUND.",No,No,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — while it specifies scope ('In 31 Tokyo Metropolitan parks'), it does not state a measurable outcome (no area restored, % increase, counts, or other performance target); actions are described as 'focusing on environmental improvement, monitoring species' and 'promote the development and expansion of beaches, tidal flats, and rocky shores, but also monitor them.' Timeline: No — no year/deadline is provided; phrases like 'will carry out' do not include an explicit timeframe. Binding mechanism: No — text does not indicate an ordinance/mandate/regulation; it is a programmatic intention ('TMG will carry out', 'we will ... promote'). Spatial specificity: Yes — applies to '31 Tokyo Metropolitan parks' and 'marine parks' in Tokyo. Weak language: Yes — 'will carry out'/'promote' describe intended activities without hard targets or deadlines. Strong language: No — no mandatory/enforceable verbs paired with hard numbers or outcome metrics. Therefore fails GOLD STANDARD (no timeline and no quantifiable outcome) and is NON-SOUND under the strict individual-policy rule.",False
TMG will promote conservation and proper use of natural parks by deploying rangers and using digital technology to deepen users’ understanding of nature’s value.,"## Promoting the conservation and sustainable use of natural parks

- ' Promote the conservation and proper use of natural parks by deploying rangers and deepen users' understanding of the value of nature by using digital technology.",individual,,## Natural environment — ## Efforts for the Future,Nature,Concrete management and outreach approach including staffing (rangers) and digital tech.,17,individual,individual,,"The statement describes an intention to “promote” conservation through deploying rangers and using digital technology, but it provides no measurable outcome (e.g., number of rangers, area covered, % reduction in incidents, user engagement metric) and no deadline/year. It is also framed with weak, promotional language rather than a binding requirement, making it non-auditable as an individual policy.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No—text says ""Promote the conservation and proper use"" and ""deepen users' understanding"" but gives no numeric deliverable (no number of rangers, coverage, or outcome metric). Timeline: No—no year/deadline is stated. Binding mechanism: No—no ordinance/mandate/requirement language; only ""Promote"". Spatial specificity: No—mentions ""natural parks"" generally, without specifying which parks/jurisdiction/area. Weak language: Yes—""Promote"" indicates encouragement without hard targets. Strong language: No—no enforce/require/achieve with numbers. Therefore it fails the strict rule (no timeline and no quantifiable target; weak language without binding mechanism) and is NON-SOUND.",False
"TMG will manage deer impacts via the deer management plan (monitoring, fences, capture enhancement, damage control) and strengthen rare species protection and alien species measures with municipalities.","## Proper management of wildlife

- ' ...TMG will, based on the deer management plan, conduct monitoring surveys, install and manage vegetation protection fences, and promote capture enhancement and damage control measures...
- ' Promote the protection of rare species... and strengthen measures against alien species in cooperation with municipalities.",individual,,## Natural environment — ## Efforts for the Future,Nature,Specific wildlife management actions with mechanisms and cooperation.,18,individual,individual,,"The verbatim text describes a set of intended actions (“conduct monitoring surveys,” “install and manage…fences,” “promote capture enhancement and damage control,” and “promote…protection…strengthen measures…in cooperation with municipalities”), but it does not specify any measurable outcome targets (e.g., % reduction in deer impacts, number of fences, area protected) or any explicit deadline/year. The language is largely promotional/intent-based (“will…conduct,” “promote,” “strengthen”) without an indicated binding mechanism (e.g., ordinance, required standards), so it is not auditable to the “gold standard” required for an individual policy.",No,No,No,No,Yes,No,NON-SOUND,0.4,"Quantifiable target: No. The text lists activities but no measurable outcomes/amounts (e.g., no numbers for fences, area protected, capture rates, impact reduction): 'conduct monitoring surveys, install and manage vegetation protection fences, and promote capture enhancement and damage control measures' and 'Promote the protection of rare species... strengthen measures against alien species'. Timeline: No. No year/deadline is stated anywhere in the excerpt. Binding mechanism: No. There is no ordinance/mandate/requirement; it describes intent and promotion rather than enforceable rules. Spatial specificity: No. It mentions 'in cooperation with municipalities' but does not define the geographic scope of applicability (e.g., citywide/within specific municipalities/areas). Weak language: Yes, due to 'Promote...' and 'strengthen measures...' without hard targets. Strong language: No, because there are no hard numbers or enforceable requirements attached. STRICT VALID RULE fails because has_timeline='No' and has_quantifiable_target='No' (gold standard not met), and weak language is present without a binding mechanism.",False
"TMG will establish (prepare to set up) the Tokyo Climate Change Adaptation Center in FY2021 and collaborate with it to collect, analyze, and provide information on climate impacts and adaptation.","## Establishment of Local Climate Change Adaptation Center

TMG is preparing to set up in FY 2021 the Tokyo Climate Change Adaptation Center (tentative name)...

TMG will collaborate with the center to collect, organize, analyze, and provide information on climate change impacts and adaptation to climate change.",individual,,## 5. Promotion of Adaptation Measures,Cross-sectoral,Concrete institutional commitment with timeline (FY2021) and defined functions.,19,individual,individual,,"The text contains a concrete institutional action (establishing/preparing to set up an adaptation center) with an explicit timeline (FY2021) and a clear description of functions (collect/analyze/provide information). However, it lacks a quantifiable outcome target (no measurable deliverable like number of reports, datasets, users served, coverage, or impact metrics). The language is also somewhat preparatory (“preparing to set up”), which weakens enforceability. Under the strict rule for individual policies, missing a quantifiable target makes it NON-SOUND.",No,Yes,No,Yes,Yes,No,NON-SOUND,0.4,"Quantifiable target: No — the text describes functions ('collect, organize, analyze, and provide information') but includes no measurable outcome (no counts, percentages, or performance targets).
Timeline: Yes — 'preparing to set up in FY 2021' provides an explicit timeframe.
Binding mechanism: No — no ordinance/mandate/regulation is cited; it is a plan/intent statement.
Spatial specificity: Yes — applies to Tokyo via 'TMG' and 'Tokyo Climate Change Adaptation Center'.
Weak language: Yes — 'is preparing to set up' indicates preparatory intent rather than a firm requirement.
Strong language: No — no mandatory verbs paired with hard numbers.
STRICT VALID RULE check: Fails because has_quantifiable_target='No' (gold standard requires both timeline and quantifiable target).",False
TMG will promote adaptation under a government-wide system using PDCA-based progress management and cooperation across bureaus.,"## Cooperation within TMG

TMG will strongly promote adaptation measures under the promotional system throughout the government, by means of the progress management ensured with the PDCA cycle, and in cooperation with our bureaus.",individual,,## 5. Promotion of Adaptation Measures,Cross-sectoral,Defines governance mechanism for implementation (PDCA progress management across government).,20,individual,individual,,"The statement describes an internal governance/process approach (“promote,” PDCA progress management, cooperation across bureaus) but does not specify any measurable adaptation outcome (no numeric target) or any deadline/year. The language is promotional rather than binding, and while it is government-wide (spatial scope), it is not auditable against a concrete deliverable. Therefore it fails the strict “individual policy” validity rule.",No,No,No,Yes,Yes,No,NON-SOUND,0.35,"Quantifiable target: No—text contains no measurable outcome (only 'promote adaptation measures'). Timeline: No—no deadline/year is stated. Binding mechanism: No—no ordinance/requirement/mandate; phrasing is 'will strongly promote' under a 'promotional system'. Spatial specificity: Yes—applies 'throughout the government' (TMG government-wide). Weak language: Yes—uses promotional/process language ('strongly promote', 'promotional system', 'progress management ensured with the PDCA cycle', 'in cooperation'). Strong language: No—no 'require/mandate/achieve' paired with hard numbers. Because it lacks both a timeline and quantifiable target, it fails the GOLD STANDARD requirement and is NON-SOUND.",False
